status,ok,latency_ms,error
201,true,8.988,""
201,true,8.346,""
201,true,8.020,""
201,true,7.932,""
201,true,8.758,""
201,true,10.294,""
201,true,11.614,""
201,true,8.019,""
201,true,8.589,""
201,true,8.246,""
201,true,7.404,""
201,true,8.366,""
201,true,8.199,""
201,true,8.227,""
201,true,9.211,""
201,true,9.429,""
201,true,17.927,""
201,true,11.476,""
201,true,10.146,""
201,true,11.069,""
201,true,9.517,""
201,true,9.755,""
201,true,9.155,""
201,true,8.015,""
201,true,7.776,""
201,true,8.700,""
201,true,21.390,""
201,true,10.114,""
201,true,7.704,""
201,true,7.274,""
201,true,7.418,""
201,true,7.698,""
201,true,10.550,""
201,true,9.206,""
201,true,8.404,""
201,true,7.376,""
201,true,8.044,""
201,true,9.051,""
201,true,8.513,""
201,true,7.844,""
201,true,8.794,""
201,true,8.335,""
201,true,9.282,""
201,true,9.665,""
201,true,9.082,""
201,true,10.397,""
201,true,8.961,""
201,true,10.515,""
201,true,19.038,""
201,true,9.281,""
201,true,9.694,""
201,true,9.672,""
201,true,10.936,""
201,true,10.877,""
201,true,12.087,""
201,true,12.199,""
201,true,11.778,""
201,true,9.790,""
201,true,11.355,""
201,true,11.355,""
201,true,12.590,""
201,true,9.920,""
201,true,8.896,""
201,true,8.306,""
201,true,9.190,""
201,true,8.404,""
201,true,10.414,""
201,true,8.377,""
201,true,10.034,""
201,true,9.588,""
201,true,8.957,""
201,true,8.555,""
201,true,8.152,""
201,true,8.940,""
201,true,8.566,""
201,true,8.118,""
201,true,8.505,""
201,true,7.914,""
201,true,12.113,""
201,true,15.448,""
201,true,8.605,""
201,true,9.352,""
201,true,7.602,""
201,true,8.495,""
201,true,8.366,""
201,true,8.036,""
201,true,8.084,""
201,true,8.176,""
201,true,9.299,""
201,true,7.753,""
201,true,9.183,""
201,true,8.338,""
201,true,8.938,""
201,true,8.261,""
201,true,8.268,""
201,true,7.180,""
201,true,8.746,""
201,true,8.692,""
201,true,9.026,""
201,true,8.098,""
201,true,10.016,""
201,true,8.315,""
201,true,7.168,""
201,true,8.631,""
201,true,8.007,""
201,true,9.850,""
201,true,7.824,""
201,true,8.187,""
201,true,8.788,""
201,true,7.978,""
201,true,9.010,""
201,true,8.903,""
201,true,7.688,""
201,true,8.098,""
201,true,9.038,""
201,true,8.704,""
201,true,8.401,""
201,true,9.914,""
201,true,8.629,""
201,true,9.188,""
201,true,11.677,""
201,true,12.923,""
201,true,11.191,""
201,true,12.225,""
201,true,9.102,""
201,true,9.555,""
201,true,9.897,""
201,true,9.778,""
201,true,10.926,""
201,true,12.853,""
201,true,10.690,""
201,true,10.412,""
201,true,10.097,""
201,true,9.790,""
201,true,10.471,""
201,true,10.702,""
201,true,10.390,""
201,true,9.877,""
201,true,9.480,""
201,true,12.975,""
201,true,14.890,""
201,true,10.321,""
201,true,8.846,""
201,true,8.441,""
201,true,8.948,""
201,true,8.484,""
201,true,8.130,""
201,true,8.347,""
201,true,8.336,""
201,true,8.143,""
201,true,7.859,""
201,true,9.262,""
201,true,8.117,""
201,true,7.807,""
201,true,8.296,""
201,true,9.313,""
201,true,8.558,""
201,true,9.194,""
201,true,11.143,""
201,true,8.507,""
201,true,9.711,""
201,true,8.496,""
201,true,9.851,""
201,true,8.239,""
201,true,7.962,""
201,true,7.926,""
201,true,9.002,""
201,true,9.544,""
201,true,8.273,""
201,true,9.652,""
201,true,11.503,""
201,true,8.557,""
201,true,9.179,""
201,true,9.456,""
201,true,8.238,""
201,true,8.290,""
201,true,8.527,""
201,true,8.315,""
201,true,6.973,""
201,true,7.973,""
201,true,10.047,""
201,true,8.296,""
201,true,8.258,""
201,true,8.405,""
201,true,8.186,""
201,true,7.831,""
201,true,13.078,""
201,true,8.490,""
201,true,8.493,""
201,true,7.312,""
201,true,9.731,""
201,true,8.010,""
201,true,9.008,""
201,true,8.802,""
201,true,9.035,""
201,true,8.002,""
201,true,8.755,""
201,true,10.796,""
201,true,9.138,""
201,true,18.266,""
201,true,17.310,""
201,true,21.165,""
201,true,22.188,""
201,true,19.895,""
201,true,27.417,""
201,true,30.763,""
201,true,24.992,""
201,true,29.506,""
201,true,24.909,""
201,true,28.470,""
201,true,25.357,""
201,true,21.575,""
201,true,16.730,""
201,true,19.686,""
201,true,15.831,""
201,true,20.051,""
201,true,23.280,""
201,true,17.647,""
201,true,22.393,""
201,true,29.757,""
201,true,24.199,""
201,true,18.816,""
201,true,20.182,""
201,true,20.914,""
201,true,34.836,""
201,true,32.551,""
201,true,39.715,""
201,true,37.548,""
201,true,28.629,""
201,true,30.598,""
201,true,30.746,""
201,true,24.879,""
201,true,27.718,""
201,true,37.968,""
201,true,31.516,""
201,true,25.486,""
201,true,29.762,""
201,true,34.362,""
201,true,31.353,""
201,true,32.702,""
201,true,31.566,""
201,true,32.529,""
201,true,28.853,""
201,true,33.714,""
201,true,24.660,""
201,true,27.197,""
201,true,37.657,""
201,true,33.705,""
201,true,39.238,""
201,true,26.189,""
201,true,19.209,""
201,true,21.467,""
201,true,16.479,""
201,true,14.408,""
201,true,13.625,""
201,true,18.489,""
201,true,28.159,""
201,true,19.247,""
201,true,12.631,""
201,true,14.010,""
201,true,14.042,""
201,true,14.026,""
201,true,13.510,""
201,true,16.422,""
201,true,16.838,""
201,true,22.369,""
201,true,22.622,""
201,true,12.883,""
201,true,17.384,""
201,true,14.254,""
201,true,13.515,""
201,true,12.703,""
201,true,12.852,""
201,true,12.679,""
201,true,13.279,""
201,true,16.833,""
201,true,15.030,""
201,true,12.788,""
201,true,13.220,""
201,true,14.031,""
201,true,13.712,""
201,true,12.353,""
201,true,13.050,""
201,true,15.407,""
201,true,14.000,""
201,true,13.608,""
201,true,18.075,""
201,true,35.381,""
